,job_title,salary
1154,Аяга таваг угаагч,"600,000 - 800,000"
1155,Цагийн худалдааны төлөөлөгч,"800,000 - 1,000,000 Тохиролцоно"
1156,Нягтлан бодогч,"1,500,000 - 1,800,000"
1157,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
1158,Үйлдвэрийн тоног төхөөрөмжийн инженер,"1,500,000 - 1,800,000"
1159,Худалдааны төлөөлөгч,"1,500,000 - 1,800,000"
1160,Худалдааны зөвлөх ажилтан /ЭМЭГТЭЙ/,"1,000,000 - 1,200,000"
1161,Ерөнхий Механик /Зам барилга дэд бүтэц/,"3,000,000 - 4,000,000"
1162,Худалдааны зөвлөх ажилтан /ЭМЭГТЭЙ/,"1,000,000 - 1,200,000"
1163,Барилгын хяналтын инженер ажилд авна,"2,100,000 - 2,500,000"
1164,Бүтээгдэхүүн хөгжүүлэлтийн менежер (Product owner),"2,500,000 - 3,000,000 Тохиролцоно"
1165,ХУДАЛДААНЫ МАРКЕТИНГ МЕНЕЖЕР /МИЛКО ТРЕЙД ХХК/,"1,500,000 - 1,800,000"
1166,Үл хөдлөх хөрөнгийн агент сургаж ажиллуулна,"2,500,000 - 3,000,000"
1167,НЭРИЙН БАРААНЫ МЭРГЭЖИЛТЭН /МИЛКО ТРЕЙД ХХК/,"1,500,000 - 1,800,000"
1168,Борлуулалт захиалгын ажилтан,"1,500,000 - 1,800,000"
1169,Брэнд менежер,"2,500,000 - 3,000,000"
1170,Нярав,"1,200,000 - 1,500,000 Тохиролцоно"
1171,БОРЛУУЛАЛТЫН МЕНЕЖЕР /МИЛКО ТРЕЙД ХХК/,"1,500,000 - 1,800,000"
1172,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ /МИЛКО ТРЕЙД ХХК/,"1,800,000 - 2,100,000"
1173,НЯГТЛАН БОДОГЧ /МИЛКО ТРЕЙД ХХК/,"1,500,000 - 1,800,000"
1174,ЭДИЙН ЗАСАГЧ /МИЛКО ТРЕЙД ХХК/,"2,100,000 - 2,500,000"
1175,ДАТА АНАЛИСТ /МИЛКО ТРЕЙД ХХК/,"1,800,000 - 2,100,000"
1176,Дроны дэлгүүрт худалдааны зөвлөх,"1,000,000 - 1,200,000"
1177,Харилцагч хариуцсан ажилтан /эмэгтэй/,"1,800,000 - 2,100,000"
1178,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ-ӨМНӨГОВЬ АЙМАГТ,"1,500,000 - 1,800,000"
1179,КОВШ ОПЕРАТОР,"1,800,000 - 2,100,000"
1180,НЯГТЛАН БОДОГЧ, Тохиролцоно
1181,Зөөгч,"800,000 - 1,000,000"
1182,Борлуулалтын ажилтан /Орон нутаг хариуцсан/,"1,500,000 - 1,800,000"
1183,Хүний нөөцийн менежер,"1,500,000 - 1,800,000"
1184,Түгээлтийн ажилтан / жолооч /,"1,200,000 - 1,500,000"
1185,Худалдааны зөвлөх /Их дэлгүүр/,"1,200,000 - 1,500,000"
1186,Худалдааны зөвлөх /Гурван гал/,"1,200,000 - 1,500,000"
1187,ЧАНАРЫН ИНЖЕНЕР,"1,500,000 - 1,800,000"
1188,Заал зохион байгуулагч,"800,000 - 1,000,000"
1189,Хүнсний технологич,"1,500,000 - 1,800,000"
1190,Гоо сайхны зөвлөх,"1,000,000 - 1,200,000"
1191,Нярав,"1,200,000 - 1,500,000"
1192,Худалдааны супервайзер,"2,100,000 - 2,500,000"
1193,Мэдээлэл технологийн техникч,"1,500,000 - 1,800,000"
1194,ДИСПЕТЧЕР,"1,500,000 - 1,800,000"
1195,ШАЛГАХ МЕХАНИК,"1,500,000 - 1,800,000"
1196,ТОХИРУУЛГЫН ЦАХИЛГААНЧИН /Нарийн сухайтын уурхай/,"1,200,000 - 1,500,000"
1197,БАРИЛГЫН ИНЖЕНЕР / УБ ТӨСӨЛД,"3,000,000 - 4,000,000 Тохиролцоно"
1198,ДОТООД АУДИТОР,"2,100,000 - 2,500,000"
1199,Зөөгч ажилд авна,"1,000,000 - 1,200,000"
1200,IT ИНЖЕНЕР,"1,500,000 - 1,800,000"
1201,"Технологич, үйл ажиллагааны менежер/тавилга/","1,500,000 - 1,800,000"
1202,ХИМИЧ /Нарийн сухайтын уурхай/,"1,200,000 - 1,500,000"
1203,Цайны тогооч,"800,000 - 1,000,000"
1204,Терминалын гаалийн ажилтан,"1,200,000 - 1,500,000"
1205,Уурхайн нягтлан бодогч,"1,800,000 - 2,100,000"
1206,Ахлах категори менежер,"3,000,000 - 4,000,000"
1207,Нягтлан бодогч,"1,200,000 - 1,500,000"
1208,Маркетингийн менежер,"1,500,000 - 1,800,000"
1209,Зээлийн эдийн засагч,"1,200,000 - 1,500,000 Тохиролцоно"
1210,Хүний нөөцийн мэргэжилтэн,"1,200,000 - 1,500,000"
1211,Төслийн ахлах менежер,"2,500,000 - 3,000,000 Тохиролцоно"
1212,Пүүний оператор,"1,200,000 - 1,500,000"
1213,Нягтлан,"2,500,000 - 3,000,000"
1214,Төслийн менежер (ИДС),"1,800,000 - 2,100,000"
1215,Дотоод аудитор,"2,500,000 - 3,000,000"
1216,Төслийн менежер /МТС/,"2,500,000 - 3,000,000"
1217,Худалдааны Зөвлөх  /бүтэн цагийн ажлын байр/,"1,000,000 - 1,200,000"
1218,Системийн администратор,"1,500,000 - 1,800,000"
1219,"Сургалт, мэдээллийн ажилтан","1,200,000 - 1,500,000 Тохиролцоно"
1220,Автын механикч ажилд авна,"1,500,000 - 1,800,000 Тохиролцоно"
1221,Автын ерөнхий инженер,"1,500,000 - 1,800,000 Тохиролцоно"
1222,Худалдааны зөвлөх,"1,800,000 - 2,100,000"
1223,Ногоо бэлтгэгчийн туслах,"600,000 - 800,000"
1224,Инженер,"1,500,000 - 1,800,000"
1225,Ногоо бэлтгэгчийн ахлах,"800,000 - 1,000,000"
1226,Үйлчлэгч ажилд авна,"800,000 - 1,000,000"
1227,Хүний нөөцийн менежер,"1,800,000 - 2,100,000"
1228,УУРХАЙН ТӨЛӨВЛӨЛТИЙН ИНЖЕНЕР,"2,500,000 - 3,000,000"
1229,Бараа материалын нярав /Цахилгаан станцын төсөл/,"1,500,000 - 1,800,000"
1230,ДУУДЛАГЫН ЗАСВАРЫН ИНЖЕНЕР,"1,800,000 - 2,100,000"
1231,Үйлдвэрийн хятад хэлний орчуулагч эрэгтэй,"1,800,000 - 2,100,000"
1232,Баяжуулах үйлдвэрийн оператор,"1,800,000 - 2,100,000"
1233,Оператор,"1,200,000 - 1,500,000"
1234,Ахлах Металлургич,"3,000,000 - 4,000,000"
1235,НЯГТЛАН БОДОХ БҮРТГЭЛИЙН АЛБАНЫ ДАРГА,"4,000,000 - 5,000,000"
1236,Түгээгч-жолооч /туршлагатай/,"1,200,000 - 1,500,000"
1237,Видео графикч,"2,100,000 - 2,500,000"
1238,Маркетинг борлуулалтын менежер,"1,500,000 - 1,800,000"
1239,Үйл ажиллагаа хариуцсан менежер,"2,100,000 - 2,500,000"
1240,"Бармен,","1,200,000 - 1,500,000"
1241,Нягтлан бодох бүртгэлийн туслах мэргэжилтэн,"1,200,000 - 1,500,000"
1242,Барилгын инженер,"2,100,000 - 2,500,000"
1243,Талбайн инженер,"2,100,000 - 2,500,000"
1244,"оффис менежер,xүний нөөц","1,500,000 - 1,800,000 Тохиролцоно"
1245,Нарийн боовчин,"1,000,000 - 1,200,000"
1246,Нягтлан бодогч /Үйлдвэр/,"1,800,000 - 2,100,000"
1247,БАРИЛГЫН ИНЖЕНЕР /МАКС ӨРГӨӨ ХХК/,"2,100,000 - 2,500,000"
1248,Сэлбэг борлуулалтын ажилтан-эрэгтэй,"1,200,000 - 1,500,000"
1249,Захиргааны ажилтан /Шинэ төгсөгч байж болно/,"1,200,000 - 1,500,000"
1250,Нягтлан бодогч /Улаанбаатар/,"1,800,000 - 2,100,000"
1251,Сэлбэг борлуулалтын ажилтан-эмэгтэй,"1,200,000 - 1,500,000"
1252,Сэлбэгийн нярав-эрэгтэй,"1,200,000 - 1,500,000"
1253,Хүнд даацын автомашины засварчин,"1,500,000 - 1,800,000"
1254,"Автын засварчин, кузов, моторчин сургаж авна","1,200,000 - 1,500,000"
1255,Грилл тогооч,"1,500,000 - 1,800,000"
1256,"ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЭРГЭЖИЛТЭН","1,500,000 - 1,800,000"
1257,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
1258,Кемп менежер,"2,500,000 - 3,000,000"
1259,Мужаан / Засал чимэглэлчин - Цагийн ажилтан,"1,000,000 - 1,200,000"
1260,Эм зүйч төлөөлөгч,"1,500,000 - 1,800,000 Тохиролцоно"
1261,Эмч төлөөлөгч,"1,500,000 - 1,800,000 Тохиролцоно"
1262,Эдийн засагч,"1,500,000 - 1,800,000"
1263,Нягтлан бодогч,"1,500,000 - 1,800,000"
1264,Мэдээлэл технологийн мэргэжилтэн /Рийч Пойнт ХХК/,"1,500,000 - 1,800,000"
1265,Зөөгч,"800,000 - 1,000,000"
1266,ХУУЛИЙН ЗӨВЛӨХ,"1,800,000 - 2,100,000"
1267,Мэдээллийн төвийн ахлах ажилтан,"1,500,000 - 1,800,000"
1268,КЕМПИЙН ҮЙЛЧЛЭГЧ 15/15,"600,000 - 800,000"
1269,Сошиал маркетингийн мэргэжилтэн ажилд авна.,"1,000,000 - 1,200,000 Тохиролцоно"
1270,Архитектор,"1,200,000 - 1,500,000"
1271,Тооцооны нягтлан бодогч,"2,100,000 - 2,500,000"
1272,Рестораны менежер,"1,500,000 - 1,800,000 Тохиролцоно"
1273,Төслийн менежер,"1,800,000 - 2,100,000"
1274,Програм хангамжийн чанарын ажилтан /Тестер/,"1,500,000 - 1,800,000"
1275,Системийн инженер,"1,500,000 - 1,800,000"
1276,ERP хөгжүүлэгч,"2,500,000 - 3,000,000"
1277,ГРАФИК ДИЗАЙНЕР,"1,800,000 - 2,100,000"
1278,ҮЙЛЧИЛГЭЭНИЙ МАШИНЫ ЖОЛООЧ /14/14 ээлжээр ажиллах/,"1,500,000 - 1,800,000 Тохиролцоно"
1279,Жолооч,"800,000 - 1,000,000"
1280,БЕЛАЗ ЖОЛООЧ /усны машины/,"1,500,000 - 1,800,000"
1281,Гал тогооны ажилтан/Түргэн хоолны газар/,"1,000,000 - 1,200,000"
1282,Барилгын төслийн менежер,"3,000,000 - 4,000,000"
1283,"""Тооцооны нягтлан бодогч""","1,500,000 - 1,800,000"
1284,Утасны оператор,"1,000,000 - 1,200,000"
1285,Ресепшн /оффис менежер/-УБ,"1,000,000 - 1,200,000"
1286,Дэлгүүрийн ажилтан /13-р хороолол Гангар/,"800,000 - 1,000,000"
1287,Хүргэлтийн жолооч /KFC/,"1,200,000 - 1,500,000"
1288,Гадаад харилцааны менежер (Англи хэлтэй),"2,100,000 - 2,500,000 Тохиролцоно"
1289,Рестораны ажилтан - KFC,"1,000,000 - 1,200,000"
1290,Дэлгүүрийн ажилтан /Модны 2/,"800,000 - 1,000,000"
1291,Ковш оператор,"1,800,000 - 2,100,000"
1292,Хөрөнгийн менежер /Шинэ төгсөгч/,"1,000,000 - 1,200,000"
1293,БЕТОН ЗУУРМАГИЙН ҮЙЛДВЭРТ ЛАБОРАНТ,"1,200,000 - 1,500,000"
1294,ЗАСВАРЫН МАСТЕР, Тохиролцоно
1295,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
1296,Дэлгүүрийн ажилтан /1-р хороолол Титэм плаза/,"800,000 - 1,000,000"
1297,Нярав ажилд авна./Байрлаж ажиллана./,"1,000,000 - 1,200,000"
1298,график дизайнер,"1,500,000 - 1,800,000"
1299,Дэлгүүрийн ажилтан /СХД-Баруун салаа/,"800,000 - 1,000,000"
1300,Төслийн борлуулалтын менежер сургаж ажилд авна.,"1,800,000 - 2,100,000"
1301,ХҮНД ДААЦЫН АВТОМАШИНЫ ЗАСВАРЧИН /Шланз/, Тохиролцоно
1302,БОРЛУУЛАЛТЫН СУПЕРВАЙЗЕР,"2,500,000 - 3,000,000"
1303,АВТО АЧИГЧИЙН ОПЕРАТОР /Чингэлэг өргөгч/, Тохиролцоно
1304,Захирлын туслах,"1,500,000 - 1,800,000"
1305,Мах бэлтгэгчийн туслах,"800,000 - 1,000,000"
1306,Харилцааны менежер,"1,500,000 - 1,800,000"
1307,Нярав жолооч /эрэгтэй/,"1,500,000 - 1,800,000"
1308,Нягтлан бодогч,"1,500,000 - 1,800,000"
1309,Дэлгүүрийн ажилтан /Бөхийн өргөө-Оюунлаг сургууль/,"1,000,000 - 1,200,000"
1310,Барилгын инженер,"3,000,000 - 4,000,000"
1311,Тээвэр зохицуулагч,"1,000,000 - 1,200,000"
1312,Үл хөдлөх хөрөнгө зуучлагч,"2,500,000 - 3,000,000"
1313,Туслах ажилтан,"1,200,000 - 1,500,000"
1314,Front-end хөгжүүлэгч,"1,800,000 - 2,100,000 Тохиролцоно"
1315,Өөрөө буулгагчийн оператор,"1,800,000 - 2,100,000"
1316,ЛОГИСТИКИЙН МАСТЕР, Тохиролцоно
1317,Back-end хөгжүүлэгч,"1,800,000 - 2,100,000 Тохиролцоно"
1318,Мах бэлтгэлийн ахлах,"1,200,000 - 1,500,000"
1319,ВЭБ ХӨГЖҮҮЛЭГЧ,"1,000,000 - 1,200,000"
1320,Экскаваторын оператор,"2,100,000 - 2,500,000"
1321,НЭВТРҮҮЛЭЛТИЙН МЕНЕЖЕР,"1,200,000 - 1,500,000"
1322,"Бэлтгэгч, үйлчлэгч","800,000 - 1,000,000"
1323,ХОЛБОГЧ НАЙРУУЛАГЧ, Тохиролцоно
1324,Борлуулалтын туслах ажилтан ажилд авна /Ачигч/,"1,200,000 - 1,500,000"
1325,ХҮНД МАШИН МЕХАНИЗМЫН ЗАСВАРЧИН /Дамп/, Тохиролцоно
1326,БАРААНЫ МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
1327,Барилгын нярав,"1,500,000 - 1,800,000 Тохиролцоно"
1328,ТЕХНИК ХЯНАЛТЫН ИНЖЕНЕР, Тохиролцоно
1329,Нягтлан бодогч,"1,500,000 - 1,800,000"
1330,Нярав,"1,000,000 - 1,200,000"
1331,Базальт арматурын үйлдвэрийн оператор,"1,200,000 - 1,500,000 Тохиролцоно"
1332,Европ хоолны тогооч,"1,200,000 - 1,500,000 Тохиролцоно"
1333,Автын механик инженер,"1,800,000 - 2,100,000"
1334,"ЦАХИЛГААНЫ ИНЖЕНЕР, ТЕХНИКЧ","1,500,000 - 1,800,000"
1335,НҮҮРС БАЯЖУУЛАХ ҮЙЛДВЭРИЙН БАЯЖУУЛАГЧ, Тохиролцоно
1336,Ээлжийн туслах тогооч,"1,200,000 - 1,500,000"
1337,Хуулийн мэргэжилтэн,"1,200,000 - 1,500,000"
1338,Зээлийн мэргэжилтэн -Эмэгтэй,"1,000,000 - 1,200,000"
1339,Ресепшн,"800,000 - 1,000,000"
1340,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
1341,ХАБЭА ажилтан,"1,500,000 - 1,800,000"
1342,Сүлжээний ажилтан,"1,800,000 - 2,100,000"
1343,Системийн тестер,"2,100,000 - 2,500,000 Тохиролцоно"
1344,Кемпэд ажиллах Тогооч,"2,500,000 - 3,000,000"
1345,Бараа материалын нярав,"1,500,000 - 1,800,000"
1346,Нягтлан бодогч,"1,800,000 - 2,100,000"
1347,Уурхайн хүний нөөцийн ажилтан,"1,500,000 - 1,800,000"
1348,Агуулах хариуцсан ажилтан,"1,500,000 - 1,800,000"
1349,Бараа материалын нярав,"1,500,000 - 1,800,000"
1350,Борлуулалтын менежер,"1,500,000 - 1,800,000"
1351,Систем хөгжүүлэгч,"2,500,000 - 3,000,000 Тохиролцоно"
1352,КАМЕРЫН ОПЕРАТОР /Эмэгтэй/,"1,200,000 - 1,500,000"
1353,Үйлчлэгч,"800,000 - 1,000,000"
1354,Онлайн Худалдааны Mенежер (E-commerce web admin),"1,800,000 - 2,100,000"
1355,Нөөцийн удирдлагын менежер /Таван Богд Трейд ХХК/,"2,500,000 - 3,000,000"
1356,"Салбар хариуцсан мeнeжeр, Удирдах ажил","1,200,000 - 1,500,000"
1357,Захиргааны туслах ажилтан,"1,200,000 - 1,500,000"
1358,Кемпийн эмч ажилд авна,"2,100,000 - 2,500,000"
1359,Түгээлтийн жолооч,"800,000 - 1,000,000"
1360,Харуул-ресепшн ажилд авна,"1,000,000 - 1,200,000"
1361,Лаборант /лабораторт ажиллах/,"1,000,000 - 1,200,000"
1362,Механикч,"1,500,000 - 1,800,000"
1363,Борлуулалтын менежер (Мишээл салбар),"1,500,000 - 1,800,000"
1364,Тооцооны нягтлан бодогч /СХД-т гэртэй/,"1,500,000 - 1,800,000"
1365,Худалдааны төлөөлөгч /эмэгтэй ажил горилогч/,"1,200,000 - 1,500,000"
1366,Лифтчин,"800,000 - 1,000,000"
1367,"Бариста, зөөгч","1,200,000 - 1,500,000"
1368,Гүйцэтгэх захирал /кемп катерингийн компани/,"5,000,000 -ааc дээш"
1369,Зуух турбины туслах  машинч /Орон нутагт 14/7,"1,000,000 - 1,200,000"
1370,Борлуулалтын дотоод аудитор / Хувьдаа машинтай/,"1,500,000 - 1,800,000"
1371,НЯРАВ АЖИЛД АВНА,"1,200,000 - 1,500,000"
1372,ТООЦООНЫ НЯГТЛАН БОДОГЧ-1,"1,500,000 - 1,800,000"
1373,САНХҮҮГИЙН ДОТООД АУДИТОР,"2,500,000 - 3,000,000"
1374,Үйлчлэгч,"1,000,000 - 1,200,000"
1375,Тооцооны нягтлан бодогч /Бараа материал/,"1,200,000 - 1,500,000"
1376,ЗУРГИЙН ИНЖЕНЕР,"1,500,000 - 1,800,000 Тохиролцоно"
1377,"Борлуулалт, үйлчилгээний менежер","1,200,000 - 1,500,000"
1378,Хүний нөөцийн мэргэжилтэн,"1,200,000 - 1,500,000 Тохиролцоно"
1379,Арматурчин /Япон хэлтэй/,"1,800,000 - 2,100,000"
1380,Гагнуурчин мужаан,"1,000,000 - 1,200,000"
1381,ҮЛ ХӨДЛӨХ ХӨРӨНГӨ БОРЛУУЛАЛТЫН АГЕНТ БЭЛТГЭЖ АВНА,"2,100,000 - 2,500,000"
1382,Фото зурагчин / График дизайнер/,"1,500,000 - 1,800,000 Тохиролцоно"
1383,Борлуулагч,"1,800,000 - 2,100,000"
1384,Цахилгаан барааны дэлгүүрт касс ажилд авна.,"1,500,000 - 1,800,000"
1385,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000"
1386,Сантехникийн туслах,"1,000,000 - 1,200,000"
1387,Мэдээлэл лавлагааны ажилтан,"1,000,000 - 1,200,000"
1388,Харилцагчийн үйлчилгээний ажилтан,"1,000,000 - 1,200,000"
1389,АВТЫН ЗАСВАРЧИН (ОТ төсөлд ажиллах),"1,500,000 - 1,800,000"
1390,Эдийн засагч/Архангай аймагт/,"1,200,000 - 1,500,000"
1391,Салбарын эрхлэгч /Өмнөговь аймаг/,"1,800,000 - 2,100,000"
1392,Салбарын эрхлэгч /Улаанбаатар хотод/,"1,800,000 - 2,100,000"
1393,Салбарын эрхлэгч (Сэлэнгэ аймагт),"1,800,000 - 2,100,000"
1394,Эдийн засагч /Дорноговь аймагт/,"1,200,000 - 1,500,000"
1395,Эдийн засагч/Налайх дүүрэгт/,"1,200,000 - 1,500,000"
1396,БРЭНД МЭРГЭЖИЛТЭН,"1,200,000 - 1,500,000"
1397,МАРКЕТИНГИЙН МЕНЕЖЕР,"2,100,000 - 2,500,000"
1398,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"4,000,000 - 5,000,000"
1399,ХАБЭА хариуцсан менежер,"1,800,000 - 2,100,000"
1400,Гэрээт суурилуулалтын инженер,"1,200,000 - 1,500,000"
1401,Цахилгаанчин,"1,200,000 - 1,500,000"
1402,Ажилчдын хоолны тогооч,"1,000,000 - 1,200,000"
1403,БАРИЛГЫН ИНЖЕНЕР,"1,800,000 - 2,100,000 Тохиролцоно"
1404,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"3,000,000 - 4,000,000 Тохиролцоно"
1405,Нягтлан бодогч,"2,100,000 - 2,500,000 Тохиролцоно"
1406,Сантехникч*,"800,000 - 1,000,000"
1407,Борлуулагч-Түгээгч,"1,800,000 - 2,100,000"
1408,БОРЛУУЛАЛТЫН МЕНЕЖЕР,"1,800,000 - 2,100,000"
1409,ВИДЕО ГРАФИКЧ,"1,500,000 - 1,800,000 Тохиролцоно"
1410,Жолооч,"1,500,000 - 1,800,000 Тохиролцоно"
1411,"Захирлын туслах, бичиг хэргийн ажилтан","1,500,000 - 1,800,000"
1412,Нярав,"1,200,000 - 1,500,000"
1413,Нягтлах бодох бүртгэлийн мэргэжилтэн /2 хүн/,"1,500,000 - 1,800,000 Тохиролцоно"
1414,Ачигч буулгагч,"1,200,000 - 1,500,000"
1415,ШАТАХУУНЫ НЯРАВ /Газрын тосны компанид/,"1,200,000 - 1,500,000"
1416,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"4,000,000 - 5,000,000"
1417,Үйлчлэгч,"800,000 - 1,000,000"
1418,Ачигч буулгагч,"1,000,000 - 1,200,000"
1419,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"4,000,000 - 5,000,000"
1420,"ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН /КАСС, БАРИСТА/","800,000 - 1,000,000"
1421,Лабораторийн техникч,"1,000,000 - 1,200,000"
1422,"ҮЛ ХӨДЛӨХ, МЕНЕЖМЕНТ ХАРИУЦСАН ХЭЛТСИЙН ДАРГА","3,000,000 - 4,000,000 Тохиролцоно"
1423,Захирлын туслах/ захиргааны менежер,"1,500,000 - 1,800,000"
1424,Хүний нөөцийн мэргэжилтэн,"1,500,000 - 1,800,000"
1425,Хуулийн мэргэжилтэн,"1,200,000 - 1,500,000"
1426,ХУДАЛДАГЧ КАСС /КИНО ҮЙЛДВЭР САЛБАРТ/,"1,200,000 - 1,500,000"
1427,ХУДАЛДАГЧ КАСС / ДАРХАН-УУЛ АЙМАГ /,"1,200,000 - 1,500,000"
1428,ГРАФИК  ДИЗАЙНЕР,"1,800,000 - 2,100,000"
1429,Зээлийн эдийн засагч,"1,200,000 - 1,500,000"
1430,Ахлах нягтлан бодогч,"1,500,000 - 1,800,000"
1431,Тоног төхөөрөмжийн засварчин /үйлдвэрт/,"1,200,000 - 1,500,000"
1432,СОШИАЛ МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
1433,Борлуулалтын ажилтан,"800,000 - 1,000,000 Тохиролцоно"
1434,АХЛАХ НЯГТЛАН БОДОГЧ,"2,500,000 - 3,000,000 Тохиролцоно"
1435,Жор баригч /Монос Эмийн сан/,"1,200,000 - 1,500,000"
1436,НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
1437,ХАНГАМЖИЙН МЕНЕЖЕР - ХЯТАД ХЭЛТЭЙ,"1,800,000 - 2,100,000"
1438,КОВШИЙН ОПЕРАТОР,"1,800,000 - 2,100,000"
1439,"Сантехникч, слесарь","1,200,000 - 1,500,000"
1440,БАРАА МАТЕРИАЛЫН АГУУЛАХАД ТУСЛАХ АЖИЛЧИН,"1,200,000 - 1,500,000"
1441,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"5,000,000 -ааc дээш"
1442,АХЛАХ НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000"
1443,Технологийн машины жолооч,"1,200,000 - 1,500,000 Тохиролцоно"
1444,Ерөнхий нягтлан бодогч,"2,100,000 - 2,500,000"
1445,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"5,000,000 -ааc дээш"
1446,Doc Controller (Инженер суурьтай),"1,200,000 - 1,500,000"
1447,НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
1448,Хүлээн авахын сувилагч яаралтай ажилд авна.,"1,200,000 - 1,500,000"
1449,Аж ахуйн менежер ажилд авна./Байрлаж ажиллах/,"1,000,000 - 1,200,000"
1450,C ангилалтай жолооч ажилд авна,"1,000,000 - 1,200,000"
1451,ҮЙЛДВЭР ХАРИУЦСАН МАСТЕР-ТЕХНОЛОГИЧ,"1,500,000 - 1,800,000"
1452,ДЭЛГҮҮР ХАРИУЦСАН МЕНЕЖЕР АЖИЛД АВНА,"1,500,000 - 1,800,000"
1453,Ерөнхий нягтлан бодогч,"2,100,000 - 2,500,000 Тохиролцоно"
1454,ХҮНСНИЙ ҮЙЛДВЭРИЙН ДАРГА,"1,800,000 - 2,100,000"
1455,ҮЙЛДВЭРИЙН ТЕХНОЛОГИЧ,"1,800,000 - 2,100,000"
1456,Ахлах тогооч ажилд авна,"1,500,000 - 1,800,000"
1457,МАРКЕТИНГИЙН АХЛАХ МЕНЕЖЕР,"1,800,000 - 2,100,000"
1458,Хятад хэлтэй нийгмийн ажилтан,"1,200,000 - 1,500,000"
1459,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,000,000 - 1,200,000"
1460,"АЖ АХУЙ, ЗАСВАР ҮЙЛЧИЛГЭЭ ХАРИУЦСАН АХЛАХ МЕНЕЖЕР","1,500,000 - 1,800,000"
1461,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,"1,000,000 - 1,200,000"
1462,Хангамжийн менежер,"1,200,000 - 1,500,000"
1463,Мэдээллийн технологийн ажилтан,"1,200,000 - 1,500,000"
1464,ХҮНИЙ НӨӨЦИЙН АЖИЛТАН, Тохиролцоно
1465,АВТЫН ЦАХИЛГААНЧИН, Тохиролцоно
1466,Захиргааны ажилтан,"2,100,000 - 2,500,000"
1467,Хятад хэлтэй Админ /Кемпэд/,"1,500,000 - 1,800,000"
1468,Чанарын менежер,"1,800,000 - 2,100,000 Тохиролцоно"
1469,Барилгын ашиглалт хариуцсан инженер /Кемпэд/,"2,100,000 - 2,500,000"
1470,ЗОЧИН УГТАГЧ / РЕСЕПШН,"1,500,000 - 1,800,000"
1471,ХАМГААЛАГЧ,"1,200,000 - 1,500,000"
1472,ҮЙЛЧЛЭГЧ,"1,200,000 - 1,500,000"
1473,Төслийн нарийн бичиг,"1,200,000 - 1,500,000 Тохиролцоно"
1474,Оперейшн менежер,"1,800,000 - 2,100,000"
1475,Гоо сайханч авна,"1,200,000 - 1,500,000 Тохиролцоно"
1476,ГҮЙЦЭТГЭХ ЗАХИРАЛ /Ресторан/,"5,000,000 -ааc дээш"
1477,АХЛАХ НЯГТЛАН БОДОГЧ,"3,000,000 - 4,000,000"
1478,Барилгын чанарын хяналтын инженер /ЦС-ын төсөл/,"3,000,000 - 4,000,000"
1479,CAMP менежер,"1,500,000 - 1,800,000"
1480,Лабораторийн ресепшен мэдээлэл зүйн хөтөч,"1,000,000 - 1,200,000"
1481,Агуулахын туслах ажилтан Пооны жолооч,"1,200,000 - 1,500,000 Тохиролцоно"
1482,СОЛОНГОС ХООЛНЫ ТОГООЧ,"1,500,000 - 1,800,000"
1483,ҮЙЛДВЭРИЙН ТОНОГ ТӨХӨӨРӨМЖИЙН ОПЕРАТОР,"1,500,000 - 1,800,000"
1484,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,500,000 - 1,800,000"
1485,ТҮГЭЭЛТИЙН ЖОЛООЧ,"1,500,000 - 1,800,000"
1486,АЧИГЧИЙН ОПЕРАТОР /Нарийн сухайтын уурхай/,"1,200,000 - 1,500,000"
1487,Авто засварчин /Хүнд даацын авто машин/,"1,800,000 - 2,100,000"
1488,ХАБЭА ХАРИУЦСАН МЭРГЭЖИЛТЭН, Тохиролцоно
1489,Суурилуулалтын  жолооч,"800,000 - 1,000,000"
1490,Аж ахуйн нярав / ЭТТ Уурхайд/,"1,200,000 - 1,500,000"
